关键词,date,展现指数,点击率,点击转化率,点击指数,结果
甜玉米,2017-12-01,10501,2.8%,1.68%,316,1560.9358464000002
甜玉米,2017-12-02,10701,2.92%,3.96%,335,4145.2164072
甜玉米,2017-12-03,10279,3.23%,4.72%,356,5578.858997440001
甜玉米,2017-12-04,14066,2.7%,4.1%,409,6368.564358
甜玉米,2017-12-05,13296,3.42%,3.61%,487,7994.352162240001
甜玉米,2017-12-06,15584,3.59%,4.24%,599,14209.08352256
甜玉米,2017-12-07,13468,3.02%,3.43%,436,6082.619641280001
甜玉米,2017-12-08,14243,2.62%,1.98%,401,2962.86817068
甜玉米,2017-12-09,11139,3.02%,3.92%,361,4760.43254736
甜玉米,2017-12-10,10834,3.29%,4.86%,382,6617.353896720001
甜玉米,2017-12-11,12483,3.11%,1.69%,416,2729.3510275199997
甜玉米,2017-12-12,15458,3.27%,7.29%,542,19972.290323880003
甜玉米,2017-12-13,11938,3.08%,5.38%,394,7794.006946879999
甜玉米,2017-12-14,12043,3.44%,4.78%,442,8752.725225920001
甜玉米,2017-12-15,10505,3.49%,4.51%,391,6465.09309545
甜玉米,2017-12-16,10058,3.79%,4.12%,407,6392.08389688
甜玉米,2017-12-17,9438,3.72%,4.48%,375,5898.372479999999
甜玉米,2017-12-18,10349,3.52%,5.89%,390,8367.986140800002
甜玉米,2017-12-19,9973,3.51%,4.01%,374,5249.874364019999
甜玉米,2017-12-20,9631,4.18%,4.52%,429,7806.266822640001
甜玉米,2017-12-21,9130,4.24%,5.13%,412,8181.844387200001
甜玉米,2017-12-22,7888,3.9%,7.02%,328,7083.4113792
甜玉米,2017-12-23,8346,4.59%,5.85%,407,9120.9765933
甜玉米,2017-12-24,9033,3.66%,3.5%,353,4084.659369
甜玉米,2017-12-25,8968,4.0%,4.62%,382,6330.834048000001
甜玉米,2017-12-26,9240,3.93%,4.56%,387,6408.2630304
甜玉米,2017-12-27,11623,4.0%,5.32%,495,12243.203280000002
甜玉米,2017-12-28,11986,4.18%,4.28%,533,11429.350023519999
甜玉米,2017-12-29,9676,3.95%,4.11%,408,6409.0688976
甜玉米,2017-12-30,12563,3.6%,5.1%,483,11140.717644
甜玉米,2017-12-31,7443,4.31%,4.93%,341,5392.95240429
甜玉米,2018-01-01,11106,4.46%,3.83%,527,9997.741811160002
甜玉米,2018-01-02,10393,3.71%,5.78%,412,9182.055032080001
甜玉米,2018-01-03,10545,4.19%,5.23%,471,10883.86642215
甜玉米,2018-01-04,10380,4.27%,2.61%,472,5460.1897392
甜玉米,2018-01-05,9432,4.0%,5.05%,402,7659.16128
甜玉米,2018-01-06,9972,3.88%,2.56%,412,4080.8551219199994
甜玉米,2018-01-07,10021,3.97%,5.19%,424,8754.56926872
甜玉米,2018-01-08,10305,4.05%,6.33%,445,11756.19389625
甜玉米,2018-01-09,9355,3.9%,5.68%,389,8061.323244
甜玉米,2018-01-10,10752,3.25%,9.21%,374,12036.600576
甜玉米,2018-01-11,11753,3.13%,6.5%,394,9421.122529
甜玉米,2018-01-12,9427,3.0%,6.72%,304,5777.468928
甜玉米,2018-01-13,11487,3.13%,2.98%,385,4125.0379863
甜玉米,2018-01-14,10051,3.51%,4.69%,377,6237.78759513
甜玉米,2018-01-15,15406,3.15%,3.89%,519,9797.5481499
甜玉米,2018-01-16,16502,3.35%,4.0%,592,13090.706559999999
甜玉米,2018-01-17,16571,3.36%,7.06%,595,23388.8926992
甜玉米,2018-01-18,18252,2.92%,4.13%,573,12612.407240159999
甜玉米,2018-01-19,13978,2.44%,4.56%,368,5723.31334656
甜玉米,2018-01-20,15451,2.9%,4.57%,480,9829.060943999999
甜玉米,2018-01-21,10666,3.98%,7.19%,453,13826.483630759998
甜玉米,2018-01-22,13594,3.64%,6.14%,529,16072.10246096
甜玉米,2018-01-23,11591,4.06%,5.42%,502,12804.126114640001
甜玉米,2018-01-24,14676,2.78%,9.23%,439,16531.74585816
甜玉米,2018-01-25,11789,3.41%,5.95%,429,10261.37607495
甜玉米,2018-01-26,11586,2.93%,8.25%,364,10194.278094000001
甜玉米,2018-01-27,10975,3.42%,3.51%,402,5296.193019
甜玉米,2018-01-28,11303,3.18%,5.74%,384,7922.531312640001
甜玉米,2018-01-29,16377,2.75%,7.09%,484,15454.630983
甜玉米,2018-01-30,12043,3.86%,6.73%,496,15517.392011839998
甜玉米,2018-01-31,13767,3.04%,6.86%,449,12890.903363520001
甜玉米,2018-02-01,14391,2.7%,6.13%,417,9932.332889700001
甜玉米,2018-02-02,12242,2.68%,5.26%,353,6091.82780368
甜玉米,2018-02-03,10142,3.14%,4.41%,341,4789.01528028
甜玉米,2018-02-04,8462,3.29%,5.07%,297,4192.116348420001
甜玉米,2018-02-05,12197,3.59%,3.76%,468,7705.1512886400005
甜玉米,2018-02-06,7660,3.65%,4.16%,298,3466.021312
甜玉米,2018-02-07,7534,2.95%,3.74%,238,1978.3184035999998
甜玉米,2018-02-08,7219,2.02%,2.28%,157,521.99087448
甜玉米,2018-02-09,5955,2.33%,1.8%,149,372.13152299999996
甜玉米,2018-02-10,4694,2.18%,0.81%,110,91.1753172
甜玉米,2018-02-11,4591,1.96%,0.0%,97,0.0
甜玉米,2018-02-12,3607,2.76%,2.54%,107,270.56568696
甜玉米,2018-02-13,3240,2.61%,0.0%,91,0.0
甜玉米,2018-02-14,3120,1.68%,3.22%,57,96.20432639999999
甜玉米,2018-02-15,2470,1.17%,2.94%,31,26.3385486
甜玉米,2018-02-16,2678,2.19%,0.0%,63,0.0
甜玉米,2018-02-17,3210,1.98%,9.33%,68,403.2373752
甜玉米,2018-02-18,4755,2.44%,5.79%,124,832.9915512
甜玉米,2018-02-19,4829,2.87%,4.84%,148,992.7643633599998
甜玉米,2018-02-20,5468,2.8%,12.02%,164,3018.1085312
甜玉米,2018-02-21,7299,2.74%,5.41%,214,2315.39432724
甜玉米,2018-02-22,10577,3.38%,6.94%,382,9477.679928079999
