编号,面积,年产量
1,844,46781.58868
2,216,14416.7369
3,211,5062.992336
4,634,51948.64439
5,191,18970.50743
6,46,1970.391008
7,731,49810.14297
8,93,4662.084881
9,22,1279.041389
10,852,10647.50311
11,195,2250.077921
12,647,22843.04302
13,909,24623.57528
14,151,8389.203867
15,159,6426.095151
16,174,5343.279943
17,15,1267.169354
18,93,4850.361639
19,63,5098.397943
20,436,11294.19564
21,131,154.8790608
22,227,554.8727087
23,29,1609.523743
24,813,39161.67319
25,68,3730.95616
26,441,22280.91682
27,427,4905.397987
28,972,58944.06309
29,555,32362.55379
30,225,15711.23059
31,467,25655.85433
32,30,2443.007314
