关键词,date,展现指数,点击率,点击转化率,点击指数,结果
黑玉米,2017-12-01,7601,5.53%,2.77%,445,5181.2630754500005
黑玉米,2017-12-02,6086,5.14%,2.67%,331,2764.6128490799997
黑玉米,2017-12-03,6748,6.01%,2.88%,429,5010.71066496
黑玉米,2017-12-04,8294,5.59%,1.43%,491,3255.31761698
黑玉米,2017-12-05,8218,5.81%,3.47%,505,8366.871946300002
黑玉米,2017-12-06,7936,5.69%,2.76%,478,5957.31965952
黑玉米,2017-12-07,9950,5.41%,2.3%,570,7057.04745
黑玉米,2017-12-08,8192,4.75%,3.84%,413,6171.131904000001
黑玉米,2017-12-09,7084,5.61%,2.09%,421,3496.791966359999
黑玉米,2017-12-10,6037,6.15%,1.57%,392,2284.9779372000003
黑玉米,2017-12-11,8146,6.13%,0.83%,528,2188.35056352
黑玉米,2017-12-12,11655,5.8%,6.95%,715,33591.633075
黑玉米,2017-12-13,7311,5.01%,3.18%,389,4530.97046322
黑玉米,2017-12-14,6872,6.07%,1.8%,441,3311.1811152000005
黑玉米,2017-12-15,7624,5.91%,2.21%,476,4739.90453664
黑玉米,2017-12-16,5766,5.23%,3.05%,319,2934.0455331000003
黑玉米,2017-12-17,6388,5.52%,2.84%,373,3735.34876032
黑玉米,2017-12-18,7025,6.6%,2.87%,489,6507.003194999999
黑玉米,2017-12-19,8076,6.15%,3.18%,524,8276.1781968
黑玉米,2017-12-20,6911,5.26%,2.29%,385,3204.9617369
黑玉米,2017-12-21,6329,6.02%,2.41%,403,3700.44263134
黑玉米,2017-12-22,5491,5.58%,2.73%,324,2710.1498205600005
黑玉米,2017-12-23,4732,5.7%,4.67%,285,3589.891578
黑玉米,2017-12-24,4539,5.99%,3.71%,287,2894.9616269699995
黑玉米,2017-12-25,6250,4.77%,0.56%,317,529.2315
黑玉米,2017-12-26,6005,5.7%,3.66%,362,4535.0024220000005
黑玉米,2017-12-27,6702,4.87%,4.34%,346,4901.16375336
黑玉米,2017-12-28,6647,5.07%,2.97%,357,3573.20804841
黑玉米,2017-12-29,5676,5.64%,2.61%,338,2824.0910755200002
黑玉米,2017-12-30,5366,5.0%,2.18%,284,1661.09896
黑玉米,2017-12-31,3756,4.97%,2.71%,198,1001.6510565599999
黑玉米,2018-01-01,4123,4.39%,3.25%,192,1129.438128
黑玉米,2018-01-02,6399,4.35%,5.1%,296,4202.069724
黑玉米,2018-01-03,6097,4.73%,3.47%,306,3062.16252342
黑玉米,2018-01-04,6260,5.11%,3.91%,339,4240.0569414
黑玉米,2018-01-05,5340,4.55%,5.51%,258,3454.012926
黑玉米,2018-01-06,5332,4.35%,4.69%,247,2686.8857106000005
黑玉米,2018-01-07,5337,4.0%,4.31%,228,2097.8252639999996
黑玉米,2018-01-08,6086,4.56%,2.71%,295,2218.6464312
黑玉米,2018-01-09,6531,4.49%,3.41%,311,3109.8596736899995
黑玉米,2018-01-10,5853,4.52%,3.79%,281,2817.49068444
黑玉米,2018-01-11,6818,5.27%,5.8%,381,7940.0014428
黑玉米,2018-01-12,6198,5.16%,1.56%,339,1691.31916512
黑玉米,2018-01-13,5018,5.25%,2.22%,279,1631.725641
黑玉米,2018-01-14,4975,5.15%,3.6%,271,2499.6091499999998
黑玉米,2018-01-15,5999,4.42%,4.41%,282,3297.53055996
黑玉米,2018-01-16,7591,4.09%,3.21%,331,3298.7949846900005
黑玉米,2018-01-17,6817,4.71%,3.63%,341,3974.43322881
黑玉米,2018-01-18,7370,4.73%,4.77%,371,6169.087316699999
黑玉米,2018-01-19,6659,4.7%,5.6%,332,5818.794016
黑玉米,2018-01-20,8044,4.14%,2.49%,355,2943.7444332
黑玉米,2018-01-21,7465,5.22%,2.99%,413,4811.9549751
黑玉米,2018-01-22,7534,4.64%,2.14%,371,2775.43639744
黑玉米,2018-01-23,7104,5.15%,1.82%,388,2583.5287296
黑玉米,2018-01-24,6403,5.18%,3.52%,351,4097.915902080001
黑玉米,2018-01-25,6742,5.27%,3.75%,377,5023.1018175
黑玉米,2018-01-26,19316,6.98%,1.75%,1422,33551.37046800001
黑玉米,2018-01-27,6323,5.64%,4.21%,377,5660.1212132400005
黑玉米,2018-01-28,6463,5.12%,4.04%,351,4692.373770239999
黑玉米,2018-01-29,5634,5.78%,3.85%,344,4312.8450288
黑玉米,2018-01-30,5371,5.59%,3.63%,317,3454.87904619
黑玉米,2018-01-31,5383,5.79%,4.56%,330,4690.0959336000005
黑玉米,2018-02-01,5629,5.92%,3.76%,352,4410.45569536
黑玉米,2018-02-02,4931,6.25%,3.54%,325,3545.6971875
黑玉米,2018-02-03,4612,5.34%,4.43%,261,2847.57249384
黑玉米,2018-02-04,4138,5.56%,3.29%,243,1839.36301416
黑玉米,2018-02-05,4933,4.75%,4.3%,249,2508.8374724999994
黑玉米,2018-02-06,4700,4.31%,2.9%,215,1263.0239499999998
黑玉米,2018-02-07,4633,4.79%,2.27%,235,1183.8359741500003
黑玉米,2018-02-08,3067,4.67%,1.18%,152,256.89535503999997
黑玉米,2018-02-09,2445,4.39%,5.55%,114,679.1117085
黑玉米,2018-02-10,2280,5.05%,0.0%,122,0.0
黑玉米,2018-02-11,2445,4.04%,0.86%,105,89.19653400000001
黑玉米,2018-02-12,2429,4.45%,2.36%,115,293.357617
黑玉米,2018-02-13,1574,5.13%,0.0%,85,0.0
黑玉米,2018-02-14,1506,5.71%,2.0%,91,156.506532
黑玉米,2018-02-15,1275,4.26%,1.58%,57,48.91608900000001
